nodo,element_type,osmid,name,amenity,tourism,lat,lon,interes,tiempo_de_visita
1,node,507114110,Mirador de San Cristóbal,,viewpoint,37.1830456,-3.596006,1,21
2,node,533647928,Museo Manuel de Falla,,museum,37.1734517,-3.588879,5,27
3,node,892037670,Oficina Municipal de Información Turística,,information,37.1742248,-3.5986671,4,38
4,node,940435771,Museo de la Alhambra,,museum,37.1770011,-3.5900734,4,22
5,node,1213321729,Mirador de San Nicolás,,viewpoint,37.1810405,-3.5926619,3,22
6,node,1351200937,Fundación Rodríguez Acosta,,museum,37.1750101,-3.5926373,2,35
7,node,1351212929,Puerta de las Granadas,,attraction,37.1760317,-3.5930761,9,22
8,node,1351215450,Museo de Bellas Artes,,museum,37.1769483,-3.5899102,2,37
9,node,1381852660,Alcaicería,,attraction,37.1753625,-3.5991907,10,24
10,node,1426439548,Mirador del Barranco del Abogado,,viewpoint,37.1700406,-3.5850184,7,24
11,node,1595009247,Patronato Provincial de Turismo de Granada,,information,37.172079,-3.5974525,1,35
12,node,2068114267,Fuente de los Leones,fountain,attraction,37.1770981,-3.589271,1,37
13,node,2068135788,Puerta de la Justicia,,attraction,37.1760961,-3.5902866,2,25
14,node,2068192059,Fuente del Pimiento,fountain,attraction,37.1742781,-3.5870642,4,28
15,node,2068192062,Fuente del Tomate,fountain,attraction,37.1747469,-3.5887919,4,36
16,node,2246108726,Mirador de San Miguel Alto,,viewpoint,37.1847644,-3.5879851,9,39
17,node,2816220886,Museo Cuevas del Sacromonte,,museum,37.1831301,-3.5843209,10,33
18,node,3738000970,Pilar del Toro,fountain,attraction,37.1771211,-3.5949145,1,26
19,node,3770575342,Albert Einstein,,artwork,37.162595,-3.6068249,9,37
20,node,3770593289,Kugelbahn 13,,artwork,37.1618622,-3.6048896,4,26
21,node,3783642761,Instituto Andaluz de la Juventud,,gallery,37.1737569,-3.59544,9,29
22,node,3883012134,Casa Morisca Horno de Oro,,attraction,37.1795627,-3.5896972,7,32
23,node,4214738457,Ninfa,,artwork,37.1677423,-3.589507,4,40
24,node,4234692262,Mirador de Alixares,,viewpoint,37.1717952,-3.5837771,8,31
25,node,4548767961,Escultura Granada al Flamenco,,artwork,37.1676392,-3.5965358,10,34
26,node,4646616591,Mirador Mario Maya,,viewpoint,37.1814415,-3.586259,5,36
27,node,4646694089,Casa de los Tiros,,museum,37.1747484,-3.5955259,1,34
28,node,4770092881,Oficina de Turismo de Granada,,information,37.1772367,-3.5946533,3,23
29,node,4931998724,Flamenco La Alborea,music_venue,attraction,37.1770551,-3.5963816,7,27
30,node,4932003408,Palacio de los Olvidados,,museum,37.1784882,-3.5938352,6,27
31,node,5124878924,Mirador de la Placeta de los Carvajales,,viewpoint,37.178875,-3.594174,5,22
32,node,5236626821,Galería Alea,,museum,37.1788216,-3.5905527,3,30
33,node,5308506129,Barrio Castrense,,information,37.1771804,-3.5914013,4,20
34,node,5482989648,Lugar de Memoria Histórica de Andalucía,,information,37.1704625,-3.5769909,6,38
35,node,5595487863,Muralla San Miguel,,viewpoint,37.1851547,-3.5889897,2,37
36,node,5605028637,Cripta de Fray Leopoldo de Alpandeire,,museum,37.1847018,-3.6020545,2,27
37,node,5607921954,Cristo de los Favores,,artwork,37.1730754,-3.5918509,7,38
38,node,5635701433,Studio Pedro Osakar,,gallery,37.1899522,-3.6801856,2,27
39,node,5679087318,Washington Irving,,artwork,37.1760692,-3.5916353,6,20
40,node,5690894128,Mirador de la Placeta de la Puerta del Sol,,viewpoint,37.1751147,-3.5944762,6,22
41,node,5766505452,Homenaje a los emigrantes granadinos,,artwork,37.1845794,-3.6089979,10,40
42,node,5794187933,Antigua Prisión Provincial de Granada,,information,37.1910676,-3.6070077,5,21
43,node,5810941368,Banco-escultura,,artwork,37.1847516,-3.6056611,1,27
44,node,5819193184,Los Albercones,,attraction,37.176644,-3.5836452,8,22
45,node,5837251052,Danzante,,artwork,37.1770654,-3.6060618,9,21
46,node,5861960763,Escultura Luna,,artwork,37.1987978,-3.6042197,2,30
47,node,5862147311,Museo de la Capilla Real,,museum,37.1760421,-3.5986977,7,22
48,node,5891296485,Parque Periurbano,,viewpoint,37.1741337,-3.5786101,2,36
